level,trial,seed,passed,peak_error_mm,rms_error_mm,first_failure_s,failure_reason,max_beam_angle_deg,camera_delay_ms,camera_noise_mm,camera_outlier_probability,longest_camera_dropout_ms,imu_delay_ms,imu_accel_bias,state_packet_dropout_probability,actuator_time_constant_ms,actuator_command_delay_ms,actuator_gain,actuator_deadband_deg,largest_impact_impulse_mps,viscous_damping,coulomb_accel,static_friction_accel
5.0,1,20270736,False,25.529084064105295,6.937772231134134,5.258,track_impact,2.1998780772363706,74.88463223322425,2.5000324431958623,0.02,209.84558708607537,15.0,0.011918299707636627,0.06,84.99999999999999,20.0,0.6,0.2,0.04116218191319485,0.3764877045115679,0.029545657733205423,0.04916855485514912
5.0,2,20280743,False,25.909122006233595,7.059115603913289,0.987,track_impact,2.199594745294108,75.77207701767273,2.2133145862682673,0.02,298.9848510925821,15.0,0.08630437102678856,0.06,84.99999999999999,20.0,0.6,0.2,0.03928832818906336,0.29287090099739405,0.03445958315397628,0.05622298326062536
5.0,3,20290750,False,35.333092862698955,7.506971170508818,6.363,track_impact,2.1999096503358913,64.0649058642282,2.0323586177132937,0.02,296.10461438005495,15.0,0.06633302966154542,0.06,84.99999999999999,20.0,0.6,0.2,0.0445099984644779,0.1957450019408083,0.024904946929716662,0.027066871132820865
5.0,4,20300757,False,14.950293798468653,3.8592579475800535,11.318,track_impact,2.189108755876681,81.93278455655376,2.0028014345641134,0.02,296.7180117481023,15.0,0.08661234553200824,0.06,84.99999999999999,20.0,0.6,0.2,0.03781265836945263,0.36759562219250774,0.03916263119197253,0.025571836571329692
5.0,5,20310764,False,120.0,51.20277698682382,16.738,vision_delay_or_dropout,2.1999999999999833,73.44665747918451,2.606422072154007,0.02,286.5768728608504,15.0,0.09213168016548182,0.06,84.99999999999999,20.0,0.6,0.2,0.034552429304852125,0.3253139700827484,0.029002012716960207,0.05565793552947737
5.0,6,20320771,False,28.35937559351668,7.1382466653211845,0.873,vision_delay_or_outlier,2.1999298567816745,65.97638904724253,2.149358878222082,0.02,262.8459325631667,15.0,-0.07009587974631408,0.06,84.99999999999999,20.0,0.6,0.2,0.03742047166488323,0.15496813285826752,0.03207479778394387,0.05134661025151188
5.0,7,20330778,False,21.391577216289903,5.896885903878199,2.529,vision_delay_or_dropout,2.196893822364327,66.91916402909423,2.350435910476222,0.02,290.75982082035875,15.0,0.005087291290670914,0.06,84.99999999999999,20.0,0.6,0.2,0.046175909134850146,0.08798999447396744,0.025566604082982676,0.021786235912639666
5.0,8,20340785,False,22.369561859295573,6.109146473469265,0.556,vision_delay_or_outlier,2.199467190319551,66.44794904570728,2.309812890466426,0.02,245.36427338199118,15.0,-0.06381886472711815,0.06,84.99999999999999,20.0,0.6,0.2,0.040530291149715604,0.21642170690203438,0.032396055426567656,0.03510398792645972
5.0,9,20350792,False,12.420659852377545,3.8587100994553527,0.787,vision_delay_or_outlier,2.1988707385740365,72.30754508013274,1.9689105325625578,0.02,282.14823292307756,15.0,-0.06853812734230229,0.06,84.99999999999999,20.0,0.6,0.2,0.03804054893917771,0.6322036267833537,0.02438307991009009,0.034851555481937774
5.0,10,20360799,False,13.238849386663839,4.35326864111838,6.425,track_impact,2.1961163565196595,77.20546492495833,1.982040999698521,0.02,275.66166594463226,15.0,-0.05897083353433215,0.06,84.99999999999999,20.0,0.6,0.2,0.04876088292079739,0.343139363120672,0.04400583505093396,0.05188536469896963
5.0,11,20370806,False,22.190591328821355,4.728544008251216,2.15,track_impact,2.198092814461972,63.22121056164198,2.0675060435401265,0.02,287.44244923504425,15.0,-0.02169840049992533,0.06,84.99999999999999,20.0,0.6,0.2,0.04394932231294145,0.6705417794441733,0.032869760690454955,0.03174790848027954
